Row_ID,Order_ID,Order_Date,Order_month,Order_year,Ship_Date,Ship_Mode,Shipping_duration,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Profit_margine
11,CA-2014-115812,09-06-2014,Jun,2014,14-06-2014,Standard Class,5,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032    ,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.20,9.00,20%,85.31,5%
12,CA-2014-115812,09-06-2014,Jun,2014,14-06-2014,Standard Class,5,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032    ,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.40,4.00,20%,68.36,8%
13,CA-2017-114412,15-04-2017,Apr,2017,20-04-2017,Standard Class,5,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027    ,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.60,3.00,20%,5.44,35%
14,CA-2016-161389,05-12-2016,Dec,2016,10-12-2016,Standard Class,5,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103    ,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,408.00,3.00,20%,132.59,33%
15,US-2015-118983,22-11-2015,Nov,2015,26-11-2015,Standard Class,4,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106    ,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.80,5.00,80%,-123.86,-180%
16,US-2015-118983,22-11-2015,Nov,2015,26-11-2015,Standard Class,4,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106    ,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.50,3.00,80%,-3.82,-150%
17,CA-2014-105893,11-11-2014,Nov,2014,18-11-2014,Standard Class,7,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711    ,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.90,6.00,0%,13.32,2%
18,CA-2014-167164,13-05-2014,May,2014,15-05-2014,Second Class,2,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084    ,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.50,2.00,0%,9.99,18%
19,CA-2014-143336,27-08-2014,Aug,2014,01-09-2014,Second Class,5,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109    ,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.60,2.00,0%,2.48,29%
20,CA-2014-143336,27-08-2014,Aug,2014,01-09-2014,Second Class,5,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109    ,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.50,3.00,20%,16.01,8%
21,CA-2014-143336,27-08-2014,Aug,2014,01-09-2014,Second Class,5,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109    ,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.70,4.00,20%,7.38,33%
22,CA-2016-137330,09-12-2016,Dec,2016,13-12-2016,Standard Class,4,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025    ,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.50,7.00,0%,5.06,26%
23,CA-2016-137330,09-12-2016,Dec,2016,13-12-2016,Standard Class,4,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025    ,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.30,7.00,0%,15.69,26%
24,US-2017-156909,16-07-2017,Jul,2017,18-07-2017,Second Class,2,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140    ,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.40,2.00,30%,-1.02,-1%
25,CA-2015-106320,25-09-2015,Sep,2015,30-09-2015,Standard Class,5,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057    ,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.60,3.00,0%,240.26,23%
26,CA-2016-121755,16-01-2016,Jan,2016,20-01-2016,Second Class,4,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049    ,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.60,2.00,20%,4.22,36%
27,CA-2016-121755,16-01-2016,Jan,2016,20-01-2016,Second Class,4,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049    ,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.60,3.00,0%,11.77,13%
28,US-2015-150630,17-09-2015,Sep,2015,21-09-2015,Standard Class,4,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140    ,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.40,7.00,50%,-1665.05,-54%
29,US-2015-150630,17-09-2015,Sep,2015,21-09-2015,Standard Class,4,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140    ,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.60,2.00,70%,-7.05,-73%
30,US-2015-150630,17-09-2015,Sep,2015,21-09-2015,Standard Class,4,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140    ,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.20,3.00,20%,15.53,13%
31,US-2015-150630,17-09-2015,Sep,2015,21-09-2015,Standard Class,4,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140    ,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.30,2.00,20%,1.10,34%
32,US-2015-150630,17-09-2015,Sep,2015,21-09-2015,Standard Class,4,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140    ,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.30,6.00,20%,9.71,11%
33,US-2015-150630,17-09-2015,Sep,2015,21-09-2015,Standard Class,4,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140    ,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.90,6.00,70%,-5.72,-83%
34,US-2015-150630,17-09-2015,Sep,2015,21-09-2015,Standard Class,4,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140    ,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.80,2.00,20%,3.55,23%
35,CA-2017-107727,19-10-2017,Oct,2017,23-10-2017,Second Class,4,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095    ,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.50,3.00,20%,9.95,34%
36,CA-2016-117590,08-12-2016,Dec,2016,10-12-2016,First Class,2,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080    ,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.50,7.00,20%,123.47,11%
37,CA-2016-117590,08-12-2016,Dec,2016,10-12-2016,First Class,2,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080    ,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.90,5.00,60%,-147.96,-78%
38,CA-2015-117415,27-12-2015,Dec,2015,31-12-2015,Standard Class,4,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041    ,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.30,9.00,20%,35.42,31%
39,CA-2015-117415,27-12-2015,Dec,2015,31-12-2015,Standard Class,4,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041    ,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.40,3.00,32%,-46.98,-9%
40,CA-2015-117415,27-12-2015,Dec,2015,31-12-2015,Standard Class,4,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041    ,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.10,3.00,30%,-15.15,-7%
41,CA-2015-117415,27-12-2015,Dec,2015,31-12-2015,Standard Class,4,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041    ,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.20,4.00,20%,41.76,11%
42,CA-2017-120999,10-09-2017,Sep,2017,15-09-2017,Standard Class,5,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540    ,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.20,4.00,20%,16.56,11%
43,CA-2016-101343,17-07-2016,Jul,2016,22-07-2016,Standard Class,5,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049    ,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.90,2.00,0%,3.89,5%
44,CA-2017-139619,19-09-2017,Sep,2017,23-09-2017,Standard Class,4,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935    ,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.60,2.00,20%,9.56,10%
45,CA-2016-118255,11-03-2016,Mar,2016,13-03-2016,First Class,2,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122    ,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",46.00,2.00,0%,19.77,43%
46,CA-2016-118255,11-03-2016,Mar,2016,13-03-2016,First Class,2,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122    ,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.50,2.00,0%,8.21,47%
47,CA-2014-146703,20-10-2014,Oct,2014,25-10-2014,Second Class,5,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185    ,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",212.00,4.00,0%,8.48,4%
48,CA-2016-169194,20-06-2016,Jun,2016,25-06-2016,Standard Class,5,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901    ,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.00,3.00,0%,4.95,11%
49,CA-2016-169194,20-06-2016,Jun,2016,25-06-2016,Standard Class,5,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901    ,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.80,2.00,0%,6.10,28%
50,CA-2015-115742,18-04-2015,Apr,2015,22-04-2015,Standard Class,4,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150    ,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.20,6.00,0%,17.96,47%
51,CA-2015-115742,18-04-2015,Apr,2015,22-04-2015,Standard Class,4,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150    ,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.20,6.00,0%,35.33,47%
52,CA-2015-115742,18-04-2015,Apr,2015,22-04-2015,Standard Class,4,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150    ,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.20,2.00,0%,2.96,48%
53,CA-2015-115742,18-04-2015,Apr,2015,22-04-2015,Standard Class,4,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150    ,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",90.00,1.00,0%,17.10,19%
54,CA-2016-105816,11-12-2016,Dec,2016,17-12-2016,Standard Class,6,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024    ,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.30,7.00,0%,6.26,41%
55,CA-2016-105816,11-12-2016,Dec,2016,17-12-2016,Standard Class,6,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024    ,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1030.00,5.00,0%,298.69,29%
56,CA-2016-111682,17-06-2016,Jun,2016,18-06-2016,First Class,1,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180    ,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.60,6.00,0%,52.14,25%
57,CA-2016-111682,17-06-2016,Jun,2016,18-06-2016,First Class,1,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180    ,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.40,5.00,0%,15.55,48%
58,CA-2016-111682,17-06-2016,Jun,2016,18-06-2016,First Class,1,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180    ,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.40,5.00,10%,7.10,2%
59,CA-2016-111682,17-06-2016,Jun,2016,18-06-2016,First Class,1,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180    ,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.60,2.00,0%,6.99,48%
60,CA-2016-111682,17-06-2016,Jun,2016,18-06-2016,First Class,1,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180    ,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.00,2.00,0%,3.30,11%
61,CA-2016-111682,17-06-2016,Jun,2016,18-06-2016,First Class,1,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180    ,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.50,4.00,20%,16.36,34%
62,CA-2016-111682,17-06-2016,Jun,2016,18-06-2016,First Class,1,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180    ,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.70,1.00,0%,0.84,50%
63,CA-2015-135545,24-11-2015,Nov,2015,30-11-2015,Standard Class,6,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004    ,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",14.00,2.00,0%,6.15,44%
64,CA-2015-135545,24-11-2015,Nov,2015,30-11-2015,Standard Class,6,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004    ,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.80,6.00,20%,9.36,36%
65,CA-2015-135545,24-11-2015,Nov,2015,30-11-2015,Standard Class,6,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004    ,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.70,3.00,0%,68.96,47%
66,CA-2015-135545,24-11-2015,Nov,2015,30-11-2015,Standard Class,6,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004    ,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.80,4.00,0%,22.33,28%
67,US-2015-164175,30-04-2015,Apr,2015,05-05-2015,Standard Class,5,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610    ,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.10,5.00,30%,-15.22,-7%
68,CA-2014-106376,05-12-2014,Dec,2014,10-12-2014,Standard Class,5,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234    ,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.00,8.00,20%,111.30,10%
69,CA-2014-106376,05-12-2014,Dec,2014,10-12-2014,Standard Class,5,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234    ,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,168.00,4.00,20%,62.99,38%
70,CA-2016-119823,04-06-2016,Jun,2016,06-06-2016,First Class,2,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153    ,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.90,2.00,0%,35.66,47%
71,CA-2016-106075,18-09-2016,Sep,2016,23-09-2016,Standard Class,5,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009    ,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.60,1.00,20%,1.73,38%
72,CA-2017-114440,14-09-2017,Sep,2017,17-09-2017,Second Class,3,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201    ,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.10,3.00,0%,8.76,46%
73,US-2015-134026,26-04-2015,Apr,2015,02-05-2015,Standard Class,6,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109    ,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.90,8.00,20%,-114.39,-14%
74,US-2015-134026,26-04-2015,Apr,2015,02-05-2015,Standard Class,6,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109    ,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.00,2.00,20%,1.21,1%
75,US-2015-134026,26-04-2015,Apr,2015,02-05-2015,Standard Class,6,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109    ,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.80,1.00,20%,-18.20,-25%
76,US-2017-118038,09-12-2017,Dec,2017,11-12-2017,First Class,2,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041    ,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.20,3.00,80%,-1.93,-155%
77,US-2017-118038,09-12-2017,Dec,2017,11-12-2017,First Class,2,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041    ,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.70,3.00,60%,-5.82,-60%
78,US-2017-118038,09-12-2017,Dec,2017,11-12-2017,First Class,2,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041    ,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.20,3.00,20%,2.72,10%
79,US-2014-147606,26-11-2014,Nov,2014,01-12-2014,Second Class,5,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070    ,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.30,5.00,60%,-14.48,-75%
80,CA-2016-127208,12-06-2016,Jun,2016,15-06-2016,First Class,3,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601    ,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.20,1.00,0%,56.20,27%
81,CA-2016-127208,12-06-2016,Jun,2016,15-06-2016,First Class,3,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601    ,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.70,3.00,0%,8.04,48%
82,CA-2014-139451,12-10-2014,Oct,2014,16-10-2014,Standard Class,4,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122    ,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.90,5.00,0%,4.17,28%
83,CA-2014-139451,12-10-2014,Oct,2014,16-10-2014,Standard Class,4,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122    ,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.40,1.00,0%,6.20,29%
84,CA-2015-149734,03-09-2015,Sep,2015,08-09-2015,Standard Class,5,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707    ,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,201.00,7.00,20%,62.81,31%
85,US-2017-119662,13-11-2017,Nov,2017,16-11-2017,First Class,3,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623    ,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.40,3.00,20%,-48.95,-21%
86,CA-2017-140088,28-05-2017,May,2017,30-05-2017,Second Class,2,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203    ,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,302.00,2.00,0%,33.22,11%
87,CA-2017-155558,26-10-2017,Oct,2017,02-11-2017,Standard Class,7,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901    ,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,20.00,1.00,0%,6.80,34%
88,CA-2017-155558,26-10-2017,Oct,2017,02-11-2017,Standard Class,7,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901    ,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.20,2.00,0%,2.96,48%
89,CA-2016-159695,05-04-2016,Apr,2016,10-04-2016,Second Class,5,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095    ,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.40,7.00,20%,13.86,9%
90,CA-2016-109806,17-09-2016,Sep,2016,22-09-2016,Standard Class,5,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036    ,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.10,3.00,0%,6.63,33%
91,CA-2016-109806,17-09-2016,Sep,2016,22-09-2016,Standard Class,5,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036    ,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.60,2.00,20%,8.28,11%
92,CA-2016-109806,17-09-2016,Sep,2016,22-09-2016,Standard Class,5,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036    ,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.50,1.00,0%,3.11,48%
93,CA-2015-149587,31-01-2015,Jan,2015,05-02-2015,Second Class,5,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407    ,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,13.00,2.00,0%,6.22,48%
94,CA-2015-149587,31-01-2015,Jan,2015,05-02-2015,Second Class,5,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407    ,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.30,3.00,0%,16.54,31%
95,CA-2015-149587,31-01-2015,Jan,2015,05-02-2015,Second Class,5,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407    ,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,33.00,2.00,0%,16.15,49%
96,US-2017-109484,06-11-2017,Nov,2017,12-11-2017,Standard Class,6,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206    ,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.70,1.00,70%,-3.79,-67%
